Open_time,시가,고가,저가,종가,거래량,거래대금,거래횟수,매수_기본_자산_거래량,매수_상대_자산_거래대금
2022-07-31,23644.64,24194.82,23227.31,23293.32,127743.32,3028386330.64,4463721,63737.44,1511326027.22
2022-08-01,23296.36,23509.68,22850.0,23268.01,144210.16,3346371889.65,4775213,71458.4,1658446268.23
2022-08-02,23266.9,23459.89,22654.37,22987.79,158073.28,3631020649.23,5066511,78122.09,1794828205.62
2022-08-03,22985.93,23647.68,22681.22,22818.37,145948.81,3385430753.81,4887642,72355.56,1678928892.75
2022-08-04,22816.91,23223.32,22400.0,22622.98,154854.67,3537434334.43,4966138,76123.82,1739248152.87
2022-08-05,22622.41,23472.86,22586.95,23312.42,175251.7,4046435951.35,5340569,88240.55,2037539950.68
2022-08-06,23313.56,23354.36,22909.52,22954.21,83911.8,1944693656.71,3360228,41438.98,960462308.05
2022-08-07,22954.21,23402.0,22844.62,23174.39,88890.01,2051763044.55,3646643,44744.9,1032885708.18
2022-08-08,23174.39,24245.0,23154.25,23810.0,170958.44,4078052110.54,5892045,85942.3,2050118384.21
2022-08-09,23810.98,23933.25,22865.0,23149.95,143182.51,3347110918.91,5105613,70598.78,1650310502.57
2022-08-10,23151.32,24226.0,22664.69,23954.05,208916.55,4918825599.49,6818207,105046.91,2473680340.32
2022-08-11,23954.05,24918.54,23852.13,23934.39,249759.8,6097813762.9,8269994,125001.91,3051727583.88
2022-08-12,23933.09,24456.5,23583.0,24403.68,174207.57,4175834601.86,6134163,87283.32,2092464530.23
2022-08-13,24401.7,24888.0,24291.22,24441.38,152852.25,3751417148.25,5617859,76352.5,1873989924.2
2022-08-14,24443.06,25047.56,24144.0,24305.24,151206.14,3708565144.9,5473905,75296.97,1847145729.88
2022-08-15,24305.25,25211.32,23773.22,24094.82,242539.55,5894066098.52,7488466,120284.46,2923411975.71
2022-08-16,24093.04,24247.49,23671.22,23854.74,179324.95,4294907691.65,5978567,89812.55,2151240576.23
2022-08-17,23856.15,24446.71,23180.4,23342.66,210668.69,4993659434.24,6901586,105158.88,2493209361.5
2022-08-18,23342.66,23600.0,23111.04,23191.2,144185.97,3375338942.26,6029662,71864.05,1682458592.21
2022-08-19,23191.45,23208.67,20783.57,20834.39,283995.88,6181759252.73,8860928,139601.81,3038568050.68
2022-08-20,20834.39,21382.85,20761.9,21140.07,183041.68,3871242921.22,5723362,91862.59,1943014391.25
2022-08-21,21140.07,21800.0,21069.11,21515.61,159200.68,3405034922.81,5034461,80239.24,1716250543.04
2022-08-22,21516.7,21548.71,20890.18,21399.83,222222.05,4721412016.9,6443370,110925.73,2356921868.62
2022-08-23,21400.75,21684.87,20890.14,21529.12,200967.77,4299812533.94,6333442,101222.3,2165911837.12
2022-08-24,21529.11,21900.0,21145.0,21368.08,174383.22,3744196823.56,5561412,86499.85,1857345193.81
2022-08-25,21368.05,21819.88,21310.15,21559.04,169915.78,3672148286.6,5618785,84555.07,1827390010.17
2022-08-26,21559.04,21886.77,20107.9,20241.05,273811.62,5785149465.1,7587244,135780.73,2869440464.99
2022-08-27,20239.14,20402.93,19800.0,20037.6,162582.46,3269764074.36,5263328,80922.99,1627546028.52
2022-08-28,20037.6,20171.18,19520.0,19555.61,139307.96,2781133881.05,4678693,69363.51,1384969093.77
2022-08-29,19555.61,20433.62,19550.79,20285.73,210509.5,4211334408.99,5840323,105809.86,2116902111.21
2022-08-30,20287.2,20576.25,19540.0,19811.66,256634.36,5157974826.61,6593178,126919.08,2551087936.86
2022-08-31,19813.03,20490.0,19797.94,20050.02,276946.61,5595829094.39,6389133,140474.46,2838456435.82
2022-09-01,20048.44,20208.37,19565.66,20131.46,245289.97,4893158531.78,5937975,121158.49,2417157339.99
2022-09-02,20132.64,20441.26,19755.29,19951.86,245986.6,4946889819.51,5740705,122616.91,2466027768.6
2022-09-03,19950.98,20055.93,19652.72,19831.9,146639.03,2908816275.01,3739909,72556.84,1439326777.59
2022-09-04,19832.45,20029.23,19583.1,20000.3,145588.78,2883227667.2,3838915,72789.26,1441735599.55
2022-09-05,20000.3,20057.27,19633.83,19796.84,222543.01,4404971191.91,4657233,110786.05,2193009371.52
2022-09-06,19795.34,20180.0,18649.51,18790.61,356315.06,6976809188.41,7124384,175781.84,3443135959.02
2022-09-07,18790.61,19464.06,18510.77,19292.84,287394.78,5436827909.2,5597127,142700.96,2700094090.54
2022-09-08,19292.85,19458.25,19012.0,19319.77,262813.28,5057217166.68,6013826,131429.46,2529247772.34
2022-09-09,19320.54,21597.22,19291.75,21360.11,428919.75,8929831332.71,7777214,217979.24,4537141163.99
2022-09-10,21361.62,21810.8,21111.13,21648.34,307997.34,6589753118.84,5615783,154171.04,3298995539.44
2022-09-11,21647.21,21860.0,21350.0,21826.87,280702.55,6064643642.72,4801844,141171.88,3050253458.28
